,affiliate_id,length_of_leg,is_weekend,month,city_id,device_class_desktop,device_class_mobile,device_class_tablet,booker_country_Bartovia,booker_country_Elbonia,booker_country_Gondal,booker_country_Tcherkistan,booker_country_The Devilfire Empire,hotel_country_Aldovia,"hotel_country_Altis and Stratis, Republic of",hotel_country_Alvonia,hotel_country_Angrezi Raj,hotel_country_Aslerfan,hotel_country_Axphain,hotel_country_Bahavia,hotel_country_Bandaria,hotel_country_Bartovia,hotel_country_Bolumbia,hotel_country_Borginia,hotel_country_Borostyria,hotel_country_Bozatta,hotel_country_Bultan,hotel_country_Carjackistan,hotel_country_Carpathia,hotel_country_Cobra Island,hotel_country_Dawsbergen,hotel_country_Drusselstein,hotel_country_El Othar,hotel_country_Elbonia,hotel_country_Eurasia,hotel_country_Flausenthurm,hotel_country_Fook Island,hotel_country_Franchia,hotel_country_Genosha,hotel_country_Glubbdubdrib,hotel_country_Gondal,hotel_country_Grand Fenwick,hotel_country_Graustark,hotel_country_Grenyarnia,hotel_country_Holy Britannian Empire,hotel_country_Idris,hotel_country_Isla Island,hotel_country_Kamistan,hotel_country_Kangan,hotel_country_Kasnia,hotel_country_Kazahrus,hotel_country_Kumbolaland,hotel_country_Kunami,hotel_country_Leutonia,hotel_country_Lilliput,"hotel_country_Merania, Kingdom of",hotel_country_Mypos,hotel_country_Naruba,hotel_country_Nevoruss,hotel_country_Norland,hotel_country_Nova Africa,hotel_country_Novistrana,hotel_country_Oceania,hotel_country_Osterlich,hotel_country_Palombia,hotel_country_Patusan,hotel_country_Pokrovia,hotel_country_Pullamawang,hotel_country_Qasha,hotel_country_Robo-Hungarian Empire,hotel_country_Rolisica,hotel_country_Rook Islands,hotel_country_Russian Democratic Union,hotel_country_Samavia,hotel_country_San Sombrèro,hotel_country_Santa Prisca,hotel_country_Sarkhan,hotel_country_Slaka,hotel_country_Sokovia,hotel_country_Svenborgia,hotel_country_Syldavia,hotel_country_Sylvania,hotel_country_São Rico,hotel_country_Tcherkistan,hotel_country_The Devilfire Empire,hotel_country_Trans-Carpathia,hotel_country_Tsergovia,hotel_country_Turgistan,hotel_country_Urkesh,hotel_country_Vadeem,hotel_country_Yerba,hotel_country_Yudonia
0,9627,3,0,7,5581,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10332,3,1,7,33177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9337,1,0,5,21337,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7643,1,0,5,4476,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,384,1,1,8,31577,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9924,2,1,8,27404,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9452,1,1,6,4932,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8599,2,1,6,4932,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,934,3,0,6,60222,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1420,2,1,7,15343,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
